unique_id,smape_baseline,smape_ensemble,gain,length_group,category
M32738,15.825102339797677,14.219433661660563,1.6056686781371141,short,Industry
M32770,42.00706700709061,40.31233335589427,1.6947336511963442,cold_start,Industry
M33122,6.66986067203896,7.160930770555048,-0.4910700985160874,cold_start,Industry
M33419,8.74964785661453,8.344914741506576,0.4047331151079536,cold_start,Industry
M33440,40.51757929648353,39.66186717169005,0.8557121247934845,short,Industry
M33767,6.565832903916953,6.597301451222973,-0.031468547306019445,short,Industry
M3405,8.048618084151956,6.911073356764967,1.137544727386989,long_history,Macro
M3419,0.801905676001913,0.8525771588170007,-0.05067148281508771,medium,Macro
M3423,1.0000296936925992,0.9263442400093608,0.07368545368323842,medium,Macro
M34365,14.266486957287421,14.401818751023626,-0.13533179373620463,cold_start,Industry
M34482,15.856629559387297,16.26799981215679,-0.411370252769494,short,Industry
M34506,20.63855233120051,19.589309570290965,1.0492427609095465,short,Industry
M3461,6.844531124695723,6.883849615439311,-0.03931849074358773,medium,Macro
M34646,45.11543132474247,42.9826355334969,2.13279579124557,cold_start,Industry
M34707,58.94636998626521,56.87395051115543,2.0724194751097826,cold_start,Industry
M34747,15.754636726794791,15.109316667684078,0.6453200591107127,short,Industry
M34779,12.13023031438378,11.51372488198141,0.61650543240237,cold_start,Industry
M34786,25.704638447780624,25.072558449368437,0.6320799984121876,cold_start,Industry
M34820,6.826912007975775,5.700044755699698,1.1268672522760772,medium,Industry
M34886,30.254046482898715,27.042226970178586,3.2118195127201297,short,Industry
M34888,16.57490072775212,16.77232632500574,-0.19742559725361986,cold_start,Industry
M34989,6.27236217575563,6.018956916048698,0.2534052597069314,short,Industry
M35117,11.835556792018389,11.14962760967435,0.6859291823440383,short,Industry
M35195,0.8897875152410547,0.9520937799528154,-0.062306264711760706,short,Industry
M35361,4.904566385905128,4.273228031842946,0.6313383540621826,medium,Industry
M35463,2.163166648724317,2.2929854578831206,-0.12981880915880373,medium,Industry
M3574,5.480111703092052,5.084853963307175,0.3952577397848769,medium,Macro
M35810,2.170573701964387,2.1725057830517778,-0.0019320810873906247,medium,Industry
M35959,8.197138341352357,6.934822719839834,1.2623156215125233,long_history,Industry
M36049,2.0407176223068877,2.5415434369813648,-0.5008258146744771,medium,Industry
M36058,15.096369155398095,13.829239800412482,1.267129354985613,long_history,Industry
